productId,name,volume,quantityInBox,percentage,price,category,description,inStock,inSale,isNew,quantity,imageFile
,Lavish Absinthe Fruit Punch,0.25,24,11,52.99,Lavish,,,,,,
,Lavish Absinthe Grape,0.25,24,11,52.99,Lavish,,,,,,
,Lavish Absinthe Green Apple,0.25,24,11,52.99,Lavish,,,,,,
,Lavish Absinthe Blue Raspberry,0.25,24,11,52.99,Lavish,,,,,,
,Lavish Classic,0.25,24,10,52.99,Lavish,,,,,,
,Lavish Mangotini,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Cosmopolitan,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Raspberry Guava,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Purple Grape,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Pineapple Colada,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Whiskey-Cola,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Gin Fizz,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Rum-Cola,0.25,24,12.5,58.99,Lavish,,,,,,
,Lavish Ultra Strong,0.25,24,17,66.99,Lavish,,,,,,
,Lavish Extreme,0.25,24,21,79.99,Lavish,,,,,,
,Lavish Hemp Vodka,0.7,1,40,21.45,Lavish,,,,,,
,Lavish Bubblegum Kush,0.7,1,40,21.45,Lavish,,,,,,
,Lavish Vodka,0.7,1,40,21.45,Lavish,,,,,,
,Johnnie Walker Red Label,0.2,1,40,4.85,Whisky,,,,,,
,Johnnie Walker Red Label,0.35,1,40,7.40,Whisky,,,,,,
,Johnnie Walker Red Label,0.7,1,40,11.25,Whisky,,,,,,
,Johnnie Walker Red Label,1,1,40,15.85,Whisky,,,,,,
,Johnnie Walker Black Label,0.2,1,40,10.65,Whisky,,,,,,
,Johnnie Walker Black Label,0.35,1,40,13.15,Whisky,,,,,,
,Johnnie Walker Black Label,0.7,1,40,18.75,Whisky,,,,,,
,Johnnie Walker Black Label,1,1,40,24.95,Whisky,,,,,,
,Jack Daniels,0.2,1,40,7.55,Whisky,,,,,,
,Jack Daniels,0.35,1,40,11.20,Whisky,,,,,,
,Jack Daniels,0.5,1,40,14.30,Whisky,,,,,,
,Jack Daniels,0.7,1,40,16.50,Whisky,,,,,,
,Jack Daniels,1,1,40,21.95,Whisky,,,,,,
,Jack Daniels Honey,0.7,1,35,17.10,Whisky,,,,,,
,Jack Daniels Honey,1,1,35,22.50,Whisky,,,,,,
,Ballantines Finest,0.2,1,40,5.70,Whisky,,,,,,
,Ballantines Finest,0.35,1,40,9.85,Whisky,,,,,,
,Ballantines Finest,0.7,1,40,13.45,Whisky,,,,,,
,Ballantines Finest,1,1,40,17.05,Whisky,,,,,,
,Johnnie Walker Double Black,0.7,1,40,24.60,Whisky,,,,,,
,Johnnie Walker Double Black,1,1,40,32.80,Whisky,,,,,,
,Grants,0.2,1,40,3.95,Whisky,,,,,,
,Grants,0.35,1,40,6.65,Whisky,,,,,,
,Grants,0.7,1,40,10.50,Whisky,,,,,,
,Grants,1,1,40,13.95,Whisky,,,,,,
,Chivas Regal 12 yrs,0.35,1,40,13.25,Whisky,,,,,,
,Chivas Regal 12 yrs,0.7,1,40,20.90,Whisky,,,,,,
,Chivas Regal 12 yrs,1,1,40,26.00,Whisky,,,,,,
,Glen Talloch,0.2,1,40,4.00,Whisky,,,,,,
,Glen Talloch,0.35,1,40,5.70,Whisky,,,,,,
,Glen Talloch,0.7,1,40,10.10,Whisky,,,,,,
,Glen Talloch,1,1,40,13.85,Whisky,,,,,,
,Glen Scanlan,0.2,1,40,3.55,Whisky,,,,,,
,Glen Scanlan,0.35,1,40,5.65,Whisky,,,,,,
,Glen Scanlan,0.7,1,40,9.40,Whisky,,,,,,
,Glen Scanlan,1,1,40,12.35,Whisky,,,,,,
,Justerini & Brooks,0.2,1,40,4.55,Whisky,,,,,,
,Justerini & Brooks,0.35,1,40,8.30,Whisky,,,,,,
,Justerini & Brooks,0.7,1,40,11.60,Whisky,,,,,,
,Justerini & Brooks,1,1,40,15.50,Whisky,,,,,,
,William Lawsons,0.7,1,40,10.40,Whisky,,,,,,
,William Lawsons,1,1,40,13.80,Whisky,,,,,,
,Jameson,0.35,1,40,10.80,Whisky,,,,,,
,Jameson,0.7,1,40,16.00,Whisky,,,,,,
,Jameson,1,1,40,20.35,Whisky,,,,,,
,Famous Grouse,0.2,1,40,5.85,Whisky,,,,,,
,Famous Grouse,0.35,1,40,9.80,Whisky,,,,,,
,Famous Grouse,0.7,1,40,11.25,Whisky,,,,,,
,Famous Grouse,1,1,40,14.45,Whisky,,,,,,
,Famous Grouse Sherry Cask,0.7,1,40,15.60,Whisky,,,,,,
,Famous Grouse Sherry Cask,1,1,40,20.45,Whisky,,,,,,
,Glen Mansion,0.2,1,40,4.65,Whisky,,,,,,
,Glen Mansion,0.7,1,40,10.45,Whisky,,,,,,
,Glen Mansion,1,1,40,14.10,Whisky,,,,,,
,Teachers,0.7,1,40,10.40,Whisky,,,,,,
,Teachers,1,1,40,14.85,Whisky,,,,,,
,Jim Beam,0.2,1,40,5.99,Whisky,,,,,,
,Jim Beam,0.7,1,40,12.40,Whisky,,,,,,
,Jim Beam,1,1,40,16.00,Whisky,,,,,,
,Jim Beam Honey,0.7,1,32.5,12.45,Whisky,,,,,,
,Jim Beam Honey,1,1,32.5,16.00,Whisky,,,,,,
,Jim Beam Apple,0.7,1,32.5,12.45,Whisky,,,,,,
,Jim Beam Apple,1,1,32.5,16.00,Whisky,,,,,,
,Jim Beam Peach,0.7,1,32.5,12.45,Whisky,,,,,,
,Jim Beam Double OAK,0.7,1,43,19.90,Whisky,,,,,,
,Jim Beam Devils Cut,0.7,1,45,17.45,Whisky,,,,,,
,Jim Beam Black Cherry,0.7,1,32.5,12.95,Whisky,,,,,,
,Johnnie Walker Gold Label Reserve,0.7,1,40,33.30,Whisky,,,,,,
,Johnnie Walker Gold Label Reserve,1,1,40,41.95,Whisky,,,,,,
,Johnnie Walker 15 Years Green Label,0.7,1,43,33.80,Whisky,,,,,,
,Johnnie Walker Island Green,1,1,43,45.65,Whisky,,,,,,
,Glen Talloch,1.5,1,40,21.50,Whisky,,,,,,
,Chivas Regal 18 yrs,0.7,1,40,49.50,Whisky,,,,,,
,Chivas Regal 18 yrs,1,1,40,58.50,Whisky,,,,,,
,Glen Scanlan,1.5,1,40,18.90,Whisky,,,,,,
,Chivas Regal 13 yrs Irish Cask,1,1,40,36.25,Whisky,,,,,,
,Chivas Regal 13 yrs Sherry Cask,0.7,1,40,32.20,Whisky,,,,,,
,Chivas Regal XV 15 yrs,0.7,1,40,38.95,Whisky,,,,,,
,Glenfiddich 12 yrs,0.7,1,40,28.95,Whisky,,,,,,
,Glenfiddich 12 yrs,1,1,40,38.95,Whisky,,,,,,
,Glenfiddich 15 yrs,0.7,1,40,42.95,Whisky,,,,,,
,Cutty Sark,0.7,1,40,11.95,Whisky,,,,,,
,Bushmills Original,0.7,1,40,13.95,Whisky,,,,,,
,Bushmills Original,1,1,40,17.75,Whisky,,,,,,
,Bushmills 10 yrs,0.7,1,40,22.75,Whisky,,,,,,
,Vat 69,0.7,1,40,10.40,Whisky,,,,,,
,Vat 69,1,1,40,14.10,Whisky,,,,,,
,Maltky,1,1,35,12.50,Whisky,,,,,,
,Label 5,0.35,1,40,7.50,Whisky,,,,,,
,Label 5,0.7,1,40,10.00,Whisky,,,,,,
,Label 5,1,1,40,13.65,Whisky,,,,,,
,Jack Daniels Single Barrel Select,0.35,1,45,15.35,Whisky,,,,,,
,Jack Daniels Single Barrel Select,0.7,1,45,30.45,Whisky,,,,,,
,Jack Daniels Single Barrel 100 proof,0.7,1,50,37.55,Whisky,,,,,,
,Jack Daniels Single Barrel Rye,0.7,1,45,34.80,Whisky,,,,,,
,Jack Daniels Fire,0.7,1,35,17.65,Whisky,,,,,,
,Jack Daniels Fire,1,1,35,23.10,Whisky,,,,,,
,Jack Daniels Gentleman Jack,0.7,1,40,21.85,Whisky,,,,,,
,Jack Daniels Gentleman Jack,1,1,40,28.45,Whisky,,,,,,
,Dimple 15 yrs,1,1,43,38.95,Whisky,,,,,,
,Dimple Golden Selection,0.7,1,40,19.25,Whisky,,,,,,
,Dewars White Label,1,1,40,17.40,Whisky,,,,,,
,Tullamore Dew,0.7,1,40,14.20,Whisky,,,,,,
,Tullamore Dew,1,1,40,18.70,Whisky,,,,,,
,Four Roses,0.7,1,40,14.90,Whisky,,,,,,
,Four Roses,1,1,40,18.75,Whisky,,,,,,
,Johnnie Walker Black Label,1.75,1,40,61.50,Whisky,,,,,,
,Johnnie Walker Red Label,1.75,1,40,33.75,Whisky,,,,,,
,Jack Daniels,1.5,1,40,39.75,Whisky,,,,,,
,Jack Daniels,3,1,40,77.65,Whisky,,,,,,
,Jack Daniels apple,0.7,1,35,17.35,Whisky,,,,,,
,Jack Daniels apple,1,1,35,23.35,Whisky,,,,,,
,jack daniels straight rye,0.7,1,45,20.15,Whisky,,,,,,
,Johnnie Walker Blue Label,1,1,40,155.95,Whisky,,,,,,
,Johnnie Walker Blue Label,0.7,1,40,144.95,Whisky,,,,,,
,Esbjaerg,0.2,1,40,3.65,Wodka,,,,,,
,Esbjaerg,0.5,1,40,6.75,Wodka,,,,,,
,Esbjaerg,1,1,40,12.25,Wodka,,,,,,
,Smirnoff Red,0.2,1,37.5,3.60,Wodka,,,,,,
,Smirnoff Red,0.35,1,37.5,5.85,Wodka,,,,,,
